item,owned
Sakura Origami Glider,False
Gold Eggshell Glider,False
Green Sprout,False
Magniflying Glass,False
Flybrary Book,False
Pink Magniflying Glass,False
Cream Toe-Bean Balloons,False
Green Cat Parafoil,False
Candlelight Flight Cake,True
Pretzel Glider,False
Tulip Corsage,False
Red and Gold Umbrella,False
8-Bit 1-Up Mushroom,False
Tropical Balloons,False
Fire Manta Glider,False
Mint & Berry Balloons,False
Vanilla & Chocolate Balloons,False
Icy Mario's Mustache,False
Flying Flappers,False
Silver Luigi's Mustache,False
Mario's Hat Balloon,False
Luigi's Hat Balloon,False
Gold Cloud Balloons,False
White Waves Origami Glider,False
Chocolate Pretzel,False
Para-Panini,False
Silver Candlelight Flight,True
Autumn Leaves,False
Calico Toe-Bean Balloons,False
Wonderful Garnet,True
Festive Holly,False
Yellow Hard Hat Balloon,False
Fuzzy Kite,False
Gold Hard Hat Balloon,False
New Year's 2023,False
Gold Meteors,False
Rainbow Fare Flier,False
Stealth Glider,False
Gold Umbrella,False
Wonderful Diamond,False
Gold Candlelight Flight,False
8-Bit Super Glider,False
Gold 8-Bit Glider,False
8-Bit Block Glider,False
8-Bit Goomba,False
Bright Ribbon,False
Yoshi's Cookies,True
Smiley Flower Glider,False
Golden Glider,False
Gold Tulips,False
Gold Manta Glider,False
Red Checkered Glider,False
Pink Checkered Glider,False
Green Checkered Glider,False
Gold Checkered Glider,False
Gold Origami Glider,False
Gold Bells,True
Glittering Glider,False
Red Emblem,False
Green Emblem,False
Mario Bros. Parafoil,False
Mosaic Starchute,False
Jellychute,False
Wavy Great Sail,False
Dolphin Great Sail,False
Pink Bubble Balloon,False
Mario Golf Cap,False
Luigi Golf Cap,False
Gold Mario Golf Cap,False
Melon & Banana Balloons,False
Spooky Sprinkle Balloons,False
Gold Chocolate Balloons,True
Royal Flush,False
Rainbow Bells,False
Gold Mario's Hat Balloon,True
Swooper,True
Bullet Bill Parachute,False
Cloud Glider,True
Rainy Balloons,True
Wicked Wings,False
Gold Swooper,False
Banana Wingtip,True
Tropical Glider,True
Dragon Wings,False
Blooper Wingtip,False
Nabbit Oilpaper Umbrella,False
Cheep Cheep Masks,True
Dry Bowser Umbrella,False
Penguin Wingtip,False
Bright Balloons,False
Ninja Scroll,False
Dream Glider,False
Vampire Wings,True
Golden Wings,False
Wario's Mustache,False
Waluigi's Mustache,False
Wonderful Wings,False
Wicked Topaz,False
Piranha Plant Balloons,False
Secret Scroll,False
Lava Rocks,False
Black Starchute,False
Boo Masks,False
Nabbit Parachute,False
Gold Boo Masks,False
Roy Oilpaper,False
Rainbow Flappy Wings,False
Gold Flappy Wings,True
Wiggler Parachute,False
Gold Piranha Plant Balloons,False
Baby Mario Hanafuda,False
Yoshi's Egg Hanafuda,False
Peach Hanafuda,False
Barrel Hanafuda,False
Blooper Hanafuda,False
Cape Mario Hanafuda,False
Bullet Bill Hanafuda,False
Boo Hanafuda,False
Piranha Plant Hanafuda,False
Goomba Hanafuda,False
Jumping Mario Hanafuda,False
Bowser Hanafuda,False
